area_type,bath,balcony,availabletomove,rectified_sqft,price
Super built-up  Area,2.0,1.0,Yes,1300.0,49.0
Super built-up  Area,2.0,1.0,Yes,1420.0,123.0
Plot  Area,9.0,2.0,Yes,1200.0,100.0
Carpet  Area,3.0,2.0,No,1069.0,65.4
Super built-up  Area,3.0,3.0,Yes,1900.0,123.0
Super built-up  Area,2.0,1.0,No,1655.0,97.65
Super built-up  Area,2.0,2.0,Yes,1155.0,40.42
Built-up  Area,2.0,2.0,Yes,1300.0,70.0
Super built-up  Area,2.0,2.0,Yes,1100.0,45.0
Super built-up  Area,2.0,2.0,Yes,1030.0,42.0
Super built-up  Area,2.0,1.0,Yes,2105.0,70.2
Built-up  Area,3.0,2.0,Yes,1700.0,126.0
Super built-up  Area,3.0,2.0,Yes,1760.0,139.0
Built-up  Area,9.0,0.0,Yes,6200.0,200.0
Built-up  Area,2.0,1.0,Yes,1400.0,67.0
Super built-up  Area,2.0,0.0,Yes,1200.0,53.0
Built-up  Area,2.0,1.0,Yes,912.0,55.0
Super built-up  Area,2.0,1.0,Yes,1102.0,48.0
Super built-up  Area,3.0,1.0,Yes,1535.0,55.0
Super built-up  Area,2.0,2.0,Yes,1243.0,46.0
Super built-up  Area,2.0,2.0,Yes,918.0,63.2
Super built-up  Area,2.0,3.0,Yes,1500.0,70.0
Plot  Area,3.0,0.0,Yes,3000.0,250.0
Super built-up  Area,3.0,0.0,Yes,1476.0,89.0
Super built-up  Area,2.0,3.0,No,1200.0,65.0
Super built-up  Area,1.0,0.0,No,606.0,34.78
Super built-up  Area,2.0,3.0,Yes,1100.0,61.0
Super built-up  Area,2.0,1.0,Yes,1295.0,59.5
Built-up  Area,1.0,0.0,Yes,527.0,26.0
Super built-up  Area,2.0,2.0,Yes,1300.0,80.0
Plot  Area,4.0,1.0,Yes,680.0,68.0
Plot  Area,1.0,0.0,Yes,1260.0,41.0
Built-up  Area,2.0,1.0,Yes,1140.0,75.2
Plot  Area,1.0,0.0,Yes,1500.0,37.5
Super built-up  Area,4.0,1.0,No,2321.0,128.0
Super built-up  Area,2.0,2.0,Yes,1390.0,62.0
Super built-up  Area,3.0,3.0,Yes,1725.0,90.0
Super built-up  Area,4.0,1.0,No,3067.0,310.0
Super built-up  Area,2.0,1.0,No,1186.0,63.0
Super built-up  Area,2.0,1.0,No,1230.0,85.0
Built-up  Area,1.0,1.0,Yes,600.0,17.0
Super built-up  Area,3.0,1.0,No,1313.0,96.0
Super built-up  Area,2.0,2.0,Yes,1250.0,66.25
Plot  Area,6.0,3.0,Yes,1200.0,280.0
Super built-up  Area,1.0,1.0,No,660.0,54.0
Super built-up  Area,2.0,2.0,Yes,1036.0,105.0
Built-up  Area,4.0,3.0,Yes,2700.0,450.0
Super built-up  Area,2.0,1.0,Yes,1100.0,70.0
Plot  Area,2.0,2.0,No,1950.0,46.8
Plot  Area,2.0,1.0,Yes,1500.0,450.0
Plot  Area,5.0,2.0,Yes,525.0,56.0
Built-up  Area,2.0,1.0,Yes,1015.0,56.0
Plot  Area,1.0,0.0,Yes,812.0,26.0
Built-up  Area,2.0,2.0,Yes,1360.0,65.0
Super built-up  Area,3.0,3.0,Yes,2167.0,170.0
Super built-up  Area,2.0,1.0,Yes,1200.0,35.0
Super built-up  Area,2.0,2.0,Yes,1165.0,75.0
Super built-up  Area,2.0,2.0,Yes,1274.0,70.0
Super built-up  Area,2.0,2.0,Yes,1151.0,39.02
Plot  Area,6.0,3.0,Yes,1060.0,110.0
Super built-up  Area,2.0,2.0,Yes,1626.0,120.0
Super built-up  Area,2.0,2.0,Yes,1035.0,35.77
Plot  Area,4.0,0.0,Yes,1272.0,75.0
Built-up  Area,2.0,1.0,Yes,965.0,45.0
Plot  Area,5.0,2.0,Yes,1600.0,140.0
Super built-up  Area,2.0,1.0,Yes,1070.0,42.79
Built-up  Area,2.0,2.0,Yes,1570.0,65.0
Built-up  Area,2.0,2.0,Yes,117.0,38.0
Super built-up  Area,2.0,2.0,Yes,780.0,25.0
Super built-up  Area,2.0,1.0,Yes,1000.0,65.0
Plot  Area,3.0,2.0,Yes,1200.0,188.0
Built-up  Area,7.0,2.0,Yes,7500.0,400.0
Built-up  Area,2.0,3.0,Yes,1700.0,100.0
Super built-up  Area,3.0,2.0,Yes,1850.0,110.0
Built-up  Area,2.0,1.0,Yes,904.0,30.0
Super built-up  Area,2.0,1.0,Yes,1121.0,43.72
Super built-up  Area,2.0,2.0,Yes,1385.0,58.17
Super built-up  Area,2.0,1.0,Yes,1270.0,69.85
Super built-up  Area,3.0,3.0,Yes,1450.0,56.0
Plot  Area,4.0,2.0,Yes,2400.0,325.0
Super built-up  Area,1.0,1.0,Yes,730.0,35.0
Super built-up  Area,3.0,3.0,Yes,1580.0,53.56
Super built-up  Area,2.0,1.0,Yes,1111.0,50.0
Plot  Area,2.0,1.0,Yes,1125.0,88.0
Super built-up  Area,2.0,2.0,Yes,977.0,36.0
Super built-up  Area,1.0,1.0,No,674.0,19.9
Plot  Area,3.0,1.0,No,600.0,83.0
Plot  Area,4.0,1.0,Yes,2540.0,115.0
Super built-up  Area,2.0,1.0,No,1290.0,100.0
Plot  Area,3.0,1.0,Yes,600.0,98.0
Super built-up  Area,2.0,1.0,Yes,795.0,32.54
Super built-up  Area,1.0,1.0,No,700.0,35.0
Built-up  Area,1.0,1.0,Yes,1463.0,142.0
Built-up  Area,3.0,0.0,Yes,1000.0,140.0
Super built-up  Area,2.0,2.0,Yes,1306.0,58.0
Super built-up  Area,3.0,2.0,Yes,2401.0,185.0
Plot  Area,3.0,0.0,Yes,1670.0,135.0
Built-up  Area,2.0,3.0,Yes,1875.0,235.0
Plot  Area,3.0,1.0,Yes,1200.0,90.0
Super built-up  Area,3.0,2.0,Yes,1804.0,121.0
Super built-up  Area,4.0,1.0,Yes,2065.0,210.0
Super built-up  Area,3.0,1.0,Yes,1225.0,40.0
Super built-up  Area,2.0,0.0,No,1185.5,58.68
Super built-up  Area,2.0,2.0,Yes,900.0,56.0
Super built-up  Area,2.0,1.0,No,1350.0,91.0
Super built-up  Area,1.0,0.0,Yes,700.0,36.0
Super built-up  Area,2.0,0.0,No,1005.0,35.175
Super built-up  Area,2.0,1.0,Yes,1160.0,46.39
Super built-up  Area,3.0,2.0,Yes,1680.0,99.27
Carpet  Area,2.0,2.0,Yes,1043.0,55.0
Plot  Area,4.0,1.0,Yes,1200.0,120.0
Super built-up  Area,2.0,2.0,Yes,1040.0,46.0
Super built-up  Area,2.0,2.0,Yes,1357.0,65.0
Plot  Area,7.0,1.0,Yes,1600.0,104.0
Super built-up  Area,2.0,2.0,No,1225.0,47.0
Plot  Area,6.0,1.0,Yes,1500.0,80.0
Super built-up  Area,2.0,2.0,Yes,1130.0,40.0
Built-up  Area,4.0,1.0,Yes,2500.0,150.0
Carpet  Area,3.0,3.0,Yes,1700.0,120.0
Super built-up  Area,3.0,2.0,Yes,1549.0,65.0
Super built-up  Area,2.0,2.0,Yes,1400.0,100.0
Super built-up  Area,2.0,2.0,Yes,1080.0,50.0
Built-up  Area,2.0,2.0,Yes,1180.0,100.0
Plot  Area,7.0,3.0,Yes,780.0,150.0
Super built-up  Area,3.0,2.0,Yes,1800.0,150.0
Super built-up  Area,2.0,1.0,No,1225.0,67.38
Built-up  Area,1.0,1.0,Yes,890.0,75.0
Super built-up  Area,2.0,1.0,Yes,1005.0,39.59
Super built-up  Area,2.0,1.0,Yes,1320.0,95.0
Built-up  Area,2.0,1.0,Yes,1475.0,50.0
Super built-up  Area,2.0,2.0,No,1707.0,99.745
Super built-up  Area,2.0,2.0,Yes,1110.0,51.0
Plot  Area,2.0,0.0,No,1300.0,54.0
Plot  Area,3.0,1.0,Yes,600.0,86.0
Super built-up  Area,2.0,1.0,No,1128.0,65.35
Super built-up  Area,2.0,1.0,No,1452.19,100.0
Plot  Area,3.0,2.0,Yes,2400.0,290.0
Super built-up  Area,4.0,1.0,No,2600.0,135.0
Super built-up  Area,4.0,2.0,Yes,2500.0,325.0
Built-up  Area,1.0,1.0,Yes,630.0,35.0
Super built-up  Area,2.0,2.0,Yes,1243.0,48.5
Built-up  Area,2.0,2.0,Yes,960.0,32.0
Super built-up  Area,3.0,2.0,Yes,1690.0,100.0
Built-up  Area,2.0,1.0,Yes,735.0,35.0
Super built-up  Area,2.0,2.0,Yes,1365.0,73.0
Super built-up  Area,5.0,0.0,Yes,2849.0,300.0
Super built-up  Area,2.0,1.0,Yes,1420.0,99.39
Super built-up  Area,3.0,3.0,Yes,1570.0,68.0
Super built-up  Area,1.0,1.0,Yes,850.0,32.0
Super built-up  Area,2.0,2.0,Yes,1575.0,110.0
Super built-up  Area,2.0,2.0,Yes,1418.0,104.0
Super built-up  Area,2.0,1.0,Yes,1050.0,42.0
Super built-up  Area,2.0,1.0,Yes,1065.0,42.6
Built-up  Area,3.0,0.0,Yes,1340.0,90.0
Super built-up  Area,3.0,2.0,Yes,1610.0,92.0
Built-up  Area,2.0,1.0,No,1160.0,33.5
Super built-up  Area,2.0,2.0,Yes,1092.0,44.0
Super built-up  Area,3.0,1.0,Yes,1455.0,61.5
Super built-up  Area,1.0,0.0,No,734.0,19.82
Built-up  Area,2.0,1.0,Yes,799.0,38.0
Built-up  Area,3.0,1.0,Yes,1896.0,75.0
Super built-up  Area,2.0,1.0,Yes,1100.0,48.0
Built-up  Area,2.0,1.0,Yes,1350.0,79.0
Super built-up  Area,3.0,1.0,Yes,1355.0,61.0
Plot  Area,2.0,0.0,Yes,1350.0,90.0
Super built-up  Area,3.0,2.0,Yes,3875.0,864.0
Super built-up  Area,3.0,2.0,Yes,1493.0,82.0
Super built-up  Area,2.0,1.0,Yes,1098.0,43.91
Super built-up  Area,2.0,1.0,Yes,1900.0,170.0
Super built-up  Area,3.0,2.0,Yes,1460.0,88.0
Super built-up  Area,4.0,3.0,Yes,2350.0,285.0
Plot  Area,5.0,3.0,Yes,1600.0,140.0
Super built-up  Area,2.0,1.0,Yes,1091.0,32.0
Super built-up  Area,2.0,3.0,Yes,1180.0,42.0
Super built-up  Area,3.0,1.0,No,1366.0,76.85
Super built-up  Area,3.0,2.0,Yes,1685.0,95.0
Built-up  Area,2.0,3.0,Yes,1260.0,100.0
Plot  Area,3.0,2.0,Yes,3010.0,200.0
Plot  Area,4.0,1.0,Yes,1330.0,140.0
Plot  Area,2.0,0.0,Yes,1200.0,130.0
Super built-up  Area,2.0,1.0,No,1346.0,96.17
Super built-up  Area,1.0,0.0,No,630.0,13.86
Super built-up  Area,2.0,2.0,No,1476.0,98.94
Super built-up  Area,3.0,2.0,Yes,1850.0,140.0
Plot  Area,2.0,0.0,Yes,2350.0,423.0
Super built-up  Area,1.0,1.0,Yes,755.0,34.0
Plot  Area,5.0,2.0,Yes,800.0,98.0
Super built-up  Area,2.0,2.0,Yes,1194.0,46.0
Super built-up  Area,5.0,2.0,No,3850.0,316.0
Super built-up  Area,4.0,2.0,No,4235.0,365.0
Plot  Area,1.0,0.0,No,800.0,52.0
Super built-up  Area,3.0,1.0,Yes,2250.0,195.0
Super built-up  Area,2.0,2.0,Yes,1352.0,68.0
Super built-up  Area,3.0,2.0,Yes,2002.0,112.0
Plot  Area,5.0,1.0,Yes,4000.0,280.0
Built-up  Area,2.0,2.0,Yes,1060.0,45.0
Super built-up  Area,2.0,1.0,Yes,1419.59,59.0
Super built-up  Area,2.0,2.0,Yes,1196.0,51.15
Built-up  Area,2.0,2.0,No,1220.0,35.24
Super built-up  Area,3.0,2.0,No,1595.0,75.0
Super built-up  Area,2.0,3.0,Yes,1260.0,75.0
Super built-up  Area,2.0,2.0,Yes,1100.0,47.0
Super built-up  Area,2.0,2.0,Yes,1550.0,140.0
Super built-up  Area,2.0,3.0,Yes,1180.0,52.0
Plot  Area,5.0,1.0,No,4000.0,150.0
Built-up  Area,3.0,2.0,Yes,1662.0,85.0
Plot  Area,4.0,1.0,Yes,1080.0,75.0
Super built-up  Area,3.0,2.0,Yes,1862.0,119.0
Super built-up  Area,2.0,2.0,Yes,1419.0,48.0
Built-up  Area,3.0,2.0,No,1410.0,43.71
Super built-up  Area,2.0,2.0,Yes,1560.0,62.4
Plot  Area,4.0,3.0,Yes,1100.0,150.0
Super built-up  Area,3.0,3.0,No,1634.0,78.0
Plot  Area,5.0,3.0,Yes,5530.0,627.0
Built-up  Area,2.0,3.0,Yes,1150.0,44.0
Super built-up  Area,2.0,2.0,No,1100.0,53.0
Super built-up  Area,3.0,1.0,No,1616.0,65.0
Super built-up  Area,2.0,1.0,No,1392.0,99.0
Super built-up  Area,3.0,1.0,No,1798.0,120.0
Super built-up  Area,3.0,3.0,Yes,1675.0,75.0
Plot  Area,2.0,1.0,Yes,792.0,70.0
Super built-up  Area,4.0,1.0,Yes,2000.0,103.0
Built-up  Area,7.0,3.0,Yes,600.0,89.0
Super built-up  Area,3.0,2.0,No,1700.0,124.0
Super built-up  Area,2.0,1.0,Yes,1248.0,69.0
Built-up  Area,2.0,1.0,Yes,1147.0,54.0
Super built-up  Area,2.0,2.0,Yes,1100.0,40.0
Super built-up  Area,3.0,2.0,Yes,1527.0,115.0
Plot  Area,5.0,2.0,Yes,2400.0,235.0
Super built-up  Area,1.0,1.0,No,525.0,25.0
Super built-up  Area,2.0,3.0,Yes,1100.0,58.0
Super built-up  Area,2.0,2.0,No,1118.0,37.5
Super built-up  Area,3.0,1.0,No,1476.0,75.0
Built-up  Area,3.0,1.0,Yes,2100.0,75.0
Super built-up  Area,2.0,2.0,No,1215.0,46.5
Super built-up  Area,2.0,1.0,Yes,1332.0,79.0
Super built-up  Area,2.0,3.0,Yes,1350.0,49.0
Plot  Area,4.0,1.0,Yes,600.0,81.0
Super built-up  Area,2.0,2.0,Yes,1105.0,49.73
Plot  Area,2.0,1.0,Yes,1500.0,200.0
Super built-up  Area,2.0,2.0,Yes,1200.0,50.0
Super built-up  Area,2.0,1.0,No,1251.0,47.4
Super built-up  Area,2.0,3.0,Yes,1400.0,67.0
Super built-up  Area,3.0,3.0,Yes,1800.0,260.0
Super built-up  Area,3.0,2.0,Yes,1703.0,113.0
Super built-up  Area,5.0,3.0,Yes,2500.0,130.0
Super built-up  Area,3.0,2.0,Yes,1250.0,71.0
Super built-up  Area,2.0,2.0,Yes,933.0,43.0
Plot  Area,1.0,1.0,Yes,461.82,31.7
Super built-up  Area,2.0,1.0,Yes,1262.0,75.0
Super built-up  Area,2.0,2.0,Yes,915.0,48.0
Super built-up  Area,2.0,2.0,Yes,1370.0,61.5
Super built-up  Area,2.0,3.0,Yes,1210.0,55.0
Super built-up  Area,4.0,2.0,Yes,2392.0,260.0
Plot  Area,2.0,0.0,No,1500.0,85.0
Super built-up  Area,2.0,3.0,Yes,1065.0,50.0
Super built-up  Area,4.0,2.0,Yes,3100.0,570.0
Super built-up  Area,3.0,3.0,Yes,1515.0,65.0
Plot  Area,4.0,2.0,No,1800.0,110.0
Super built-up  Area,2.0,3.0,Yes,1445.0,40.31
Super built-up  Area,2.0,1.0,Yes,1300.0,55.0
Built-up  Area,2.0,0.0,Yes,989.0,60.0
Super built-up  Area,2.0,1.0,Yes,1300.0,85.0
Super built-up  Area,2.0,2.0,No,1185.0,30.22
Plot  Area,3.0,1.0,Yes,1350.0,110.0
Super built-up  Area,2.0,3.0,Yes,1045.0,60.0
Super built-up  Area,2.0,2.0,No,1205.0,42.18
Super built-up  Area,2.0,1.0,Yes,1260.0,75.0
Plot  Area,5.0,2.0,Yes,1320.0,199.0
Super built-up  Area,2.0,2.0,Yes,1500.0,125.0
Super built-up  Area,2.0,2.0,No,1250.0,42.5
Built-up  Area,2.0,2.0,No,1199.0,50.0
Super built-up  Area,2.0,1.0,Yes,1385.0,83.09
Plot  Area,5.0,3.0,Yes,1222.0,250.0
Super built-up  Area,2.0,1.0,Yes,1149.0,75.0
Super built-up  Area,3.0,2.0,Yes,2180.0,170.0
Plot  Area,7.0,1.0,Yes,1200.0,110.0
Super built-up  Area,12.0,2.0,Yes,12000.0,525.0
Plot  Area,5.0,0.0,Yes,1200.0,195.0
Super built-up  Area,3.0,1.0,Yes,1818.0,135.0
Super built-up  Area,2.0,2.0,Yes,1070.0,33.0
Super built-up  Area,3.0,2.0,Yes,1640.0,241.0
Built-up  Area,2.0,2.0,Yes,1350.0,54.6
Built-up  Area,1.0,1.0,Yes,630.0,27.0
Super built-up  Area,2.0,2.0,No,1430.0,113.0
Super built-up  Area,4.0,3.0,Yes,2430.0,180.0
Plot  Area,7.0,3.0,Yes,1500.0,220.0
Super built-up  Area,2.0,3.0,Yes,1084.0,55.0
Super built-up  Area,2.0,1.0,Yes,1186.0,56.0
Built-up  Area,2.0,2.0,Yes,1255.0,50.0
Super built-up  Area,5.0,3.0,Yes,3400.0,240.0
Super built-up  Area,3.0,1.0,No,1541.0,69.84
Super built-up  Area,5.0,1.0,Yes,3596.0,282.0
Super built-up  Area,2.0,2.0,Yes,1295.0,70.0
Built-up  Area,3.0,2.0,Yes,2820.0,285.0
Super built-up  Area,2.0,2.0,Yes,1370.0,54.79
Super built-up  Area,2.0,1.0,Yes,1100.0,40.0
Super built-up  Area,6.0,2.0,No,4772.0,510.0
Super built-up  Area,2.0,1.0,Yes,1370.0,170.0
Super built-up  Area,2.0,1.0,Yes,1370.0,54.79
Super built-up  Area,2.0,2.0,Yes,1200.0,62.0
Plot  Area,3.0,0.0,Yes,2000.0,95.0
Built-up  Area,4.0,2.0,Yes,3500.0,300.0
Plot  Area,4.0,3.0,Yes,1200.0,240.0
Plot  Area,5.0,2.0,Yes,2400.0,253.0
Super built-up  Area,3.0,2.0,Yes,1220.0,62.0
Built-up  Area,3.0,2.0,Yes,1950.0,130.0
Super built-up  Area,2.0,3.0,Yes,1178.0,73.0
Super built-up  Area,3.0,2.0,Yes,1286.0,61.44
Super built-up  Area,2.0,2.0,Yes,1160.0,42.0
Super built-up  Area,2.0,2.0,Yes,918.0,55.0
Super built-up  Area,3.0,2.0,No,1563.0,91.84
Super built-up  Area,2.0,1.0,No,1326.0,62.17
Super built-up  Area,2.0,2.0,Yes,1350.0,140.0
Super built-up  Area,5.0,3.0,No,3960.0,386.0
Super built-up  Area,2.0,2.0,Yes,1240.0,39.06
Super built-up  Area,2.0,2.0,Yes,1325.0,50.0
Super built-up  Area,2.0,1.0,Yes,1100.0,44.0
Super built-up  Area,3.0,2.0,Yes,3875.0,800.0
Super built-up  Area,3.0,2.0,Yes,1605.0,50.0
Super built-up  Area,5.0,3.0,Yes,5600.0,515.0
Super built-up  Area,2.0,1.0,Yes,1260.0,60.0
Super built-up  Area,3.0,2.0,No,1553.0,83.09
Super built-up  Area,2.0,2.0,Yes,1280.0,52.0
Super built-up  Area,2.0,2.0,Yes,1550.0,75.0
Super built-up  Area,2.0,2.0,Yes,1445.0,125.0
Super built-up  Area,3.0,2.0,Yes,1550.0,74.0
Super built-up  Area,2.0,1.0,Yes,1515.0,80.91
Super built-up  Area,2.0,1.0,No,1332.0,86.12
Super built-up  Area,3.0,2.0,Yes,1652.0,70.0
Super built-up  Area,3.0,1.0,Yes,1570.0,105.0
Plot  Area,4.0,3.0,Yes,5400.0,725.0
Super built-up  Area,1.0,1.0,Yes,794.0,60.0
Plot  Area,2.0,0.0,Yes,1200.0,62.0
Built-up  Area,3.0,2.0,Yes,3600.0,410.0
Plot  Area,3.0,2.0,Yes,1200.0,175.0
Super built-up  Area,3.0,1.0,Yes,1650.0,220.0
Plot  Area,2.0,1.0,Yes,600.0,85.0
Super built-up  Area,3.0,2.0,Yes,2800.0,250.0
Super built-up  Area,3.0,2.0,Yes,1750.0,110.0
Built-up  Area,2.0,1.0,Yes,1053.0,48.0
Super built-up  Area,3.0,3.0,Yes,1665.0,70.0
Plot  Area,4.0,3.0,Yes,4051.0,345.0
Plot  Area,5.0,1.0,Yes,5500.0,1500.0
Built-up  Area,3.0,2.0,Yes,1447.0,80.0
Built-up  Area,2.0,1.0,Yes,1012.0,75.0
Super built-up  Area,3.0,2.0,Yes,1900.0,60.0
Super built-up  Area,2.0,2.0,Yes,1308.0,92.66
Super built-up  Area,4.0,2.0,Yes,3250.0,230.0
Super built-up  Area,2.0,1.0,Yes,1351.0,53.0
Super built-up  Area,2.0,2.0,Yes,1000.0,22.0
Plot  Area,4.0,2.0,Yes,1200.0,350.0
Super built-up  Area,2.0,2.0,No,1140.0,49.11
Super built-up  Area,4.0,0.0,No,3181.0,260.5
Built-up  Area,2.0,1.0,Yes,1250.0,55.0
Super built-up  Area,3.0,3.0,Yes,1290.0,45.15
Super built-up  Area,2.0,2.0,Yes,1320.0,60.6
Built-up  Area,3.0,2.0,Yes,1662.0,85.5
Super built-up  Area,5.0,3.0,Yes,8321.0,2700.0
Built-up  Area,3.0,2.0,Yes,1975.0,210.0
Super built-up  Area,2.0,2.0,Yes,1295.0,59.5
Super built-up  Area,3.0,2.0,Yes,1777.0,100.0
Super built-up  Area,3.0,2.0,No,1900.0,108.0
Super built-up  Area,3.0,2.0,No,1576.0,59.1
Super built-up  Area,2.0,3.0,Yes,1020.0,41.0
Super built-up  Area,3.0,3.0,Yes,2100.0,170.0
Super built-up  Area,1.0,1.0,No,648.0,31.75
Super built-up  Area,2.0,1.0,Yes,1167.0,38.0
Plot  Area,7.0,3.0,Yes,1000.0,160.0
Super built-up  Area,2.0,2.0,Yes,1220.0,50.89
Super built-up  Area,5.0,1.0,Yes,2350.0,327.0
Super built-up  Area,2.0,1.0,Yes,1259.0,67.4
Built-up  Area,4.0,2.0,Yes,2000.0,82.0
Super built-up  Area,3.0,1.0,Yes,1800.0,80.0
Built-up  Area,3.0,2.0,Yes,1991.0,160.0
Super built-up  Area,3.0,3.0,Yes,1665.0,110.0
Built-up  Area,2.0,1.0,No,1234.0,61.0
Super built-up  Area,2.0,2.0,Yes,1340.0,64.31
Super built-up  Area,2.0,2.0,Yes,1170.0,46.79
Built-up  Area,2.0,0.0,Yes,995.0,46.0
Super built-up  Area,2.0,2.0,Yes,1075.0,60.0
Super built-up  Area,2.0,1.0,No,1025.0,54.5
Super built-up  Area,3.0,2.0,Yes,2721.0,113.0
Super built-up  Area,3.0,2.0,Yes,2000.0,99.0
Super built-up  Area,4.0,3.0,Yes,2500.0,155.0
Super built-up  Area,2.0,2.0,Yes,1325.0,70.0
Super built-up  Area,2.0,3.0,No,1314.0,68.2
Super built-up  Area,3.0,2.0,No,2265.0,136.0
Built-up  Area,7.0,0.0,Yes,4800.0,170.0
Super built-up  Area,2.0,1.0,No,1026.0,41.0
Built-up  Area,3.0,2.0,Yes,1200.0,66.0
Built-up  Area,4.0,2.0,Yes,2220.0,65.0
Super built-up  Area,2.0,0.0,No,1192.5,51.22
Super built-up  Area,2.0,1.0,No,1420.0,99.39
Super built-up  Area,4.0,1.0,Yes,1888.0,95.0
Super built-up  Area,2.0,1.0,No,1300.0,90.87
Super built-up  Area,2.0,0.0,No,1216.0,97.16
Plot  Area,4.0,3.0,No,3000.0,342.0
Built-up  Area,3.0,2.0,Yes,1559.0,63.0
Super built-up  Area,2.0,1.0,Yes,1290.0,87.0
Plot  Area,6.0,2.0,Yes,2400.0,245.0
Built-up  Area,1.0,1.0,No,905.0,55.0
Built-up  Area,2.0,2.0,Yes,1069.0,55.0
Super built-up  Area,2.0,1.0,No,829.0,22.8
Built-up  Area,2.0,1.0,Yes,1900.0,200.0
Built-up  Area,5.0,1.0,Yes,3040.0,140.0
Built-up  Area,3.0,2.0,Yes,1300.0,60.0
Super built-up  Area,2.0,1.0,Yes,1115.0,33.45
Super built-up  Area,3.0,2.0,Yes,2409.0,360.0
Super built-up  Area,4.0,2.0,Yes,2150.0,125.0
Super built-up  Area,2.0,1.0,No,1305.0,69.0
Super built-up  Area,2.0,1.0,No,1252.0,56.32
Plot  Area,5.0,2.0,Yes,2400.0,250.0
Plot  Area,2.0,1.0,No,1200.0,46.13
Built-up  Area,3.0,1.0,Yes,1750.0,130.0
Super built-up  Area,1.0,1.0,Yes,545.0,35.0
Plot  Area,2.0,1.0,Yes,1375.0,105.0
Super built-up  Area,2.0,2.0,Yes,1313.0,66.5
Plot  Area,4.0,1.0,Yes,3640.0,275.0
Super built-up  Area,3.0,2.0,No,1693.0,108.0
Super built-up  Area,2.0,1.0,Yes,1160.0,41.75
Plot  Area,3.0,0.0,Yes,1200.0,200.0
Super built-up  Area,2.0,2.0,Yes,1255.0,79.0
Plot  Area,4.0,1.0,Yes,1000.0,75.0
Built-up  Area,2.0,1.0,Yes,900.0,45.0
Super built-up  Area,3.0,2.0,Yes,1700.0,90.0
Carpet  Area,3.0,1.0,Yes,1875.0,180.0
Carpet  Area,3.0,2.0,Yes,1700.0,88.0
Super built-up  Area,3.0,2.0,Yes,1749.0,115.0
Plot  Area,3.0,1.0,Yes,1500.0,65.0
Super built-up  Area,2.0,1.0,Yes,1175.0,48.0
Built-up  Area,2.0,1.0,Yes,1280.0,60.0
Built-up  Area,2.0,2.0,Yes,1200.0,50.0
Super built-up  Area,2.0,2.0,Yes,1610.0,115.0
Super built-up  Area,2.0,1.0,Yes,1070.0,46.0
Plot  Area,2.0,0.0,Yes,1200.0,66.0
Super built-up  Area,2.0,1.0,No,1127.0,50.0
Built-up  Area,2.0,1.0,Yes,1210.0,102.0
Built-up  Area,2.0,1.0,Yes,600.0,23.0
Super built-up  Area,4.0,3.0,Yes,4190.0,380.0
Super built-up  Area,2.0,2.0,Yes,1364.0,70.0
Super built-up  Area,3.0,0.0,Yes,2268.0,146.0
Super built-up  Area,2.0,2.0,Yes,1150.0,77.5
Super built-up  Area,2.0,1.0,Yes,1146.0,39.5
Built-up  Area,2.0,2.0,Yes,1345.0,55.0
Super built-up  Area,2.0,2.0,Yes,1110.0,41.0
Built-up  Area,2.0,1.0,Yes,750.0,36.0
Built-up  Area,2.0,2.0,Yes,1156.0,49.5
Super built-up  Area,2.0,1.0,Yes,1247.0,59.8
Super built-up  Area,2.0,2.0,Yes,1058.0,60.0
Super built-up  Area,2.0,1.0,Yes,950.0,48.0
Super built-up  Area,2.0,0.0,Yes,420.0,35.0
Plot  Area,2.0,2.0,Yes,600.0,90.0
Super built-up  Area,2.0,1.0,No,1520.0,103.0
Built-up  Area,1.0,1.0,Yes,900.0,30.0
Super built-up  Area,3.0,2.0,Yes,2350.0,174.0
Super built-up  Area,2.0,2.0,Yes,1050.0,46.0
Super built-up  Area,3.0,2.0,Yes,1672.0,150.0
Plot  Area,5.0,2.0,Yes,2800.0,125.0
Super built-up  Area,2.0,2.0,Yes,1500.0,65.0
Super built-up  Area,2.0,2.0,Yes,1400.0,65.0
Plot  Area,4.0,2.0,No,500.0,378.0
Built-up  Area,4.0,2.0,Yes,2700.0,130.0
Super built-up  Area,2.0,1.0,No,920.0,37.46
Plot  Area,3.0,2.0,No,1200.0,70.0
Built-up  Area,3.0,2.0,Yes,1250.0,139.0
Super built-up  Area,4.0,2.0,No,1817.0,153.0
Plot  Area,6.0,2.0,Yes,2043.0,375.0
Built-up  Area,4.0,1.0,Yes,4346.0,450.0
Super built-up  Area,2.0,2.0,Yes,1464.0,56.0
Super built-up  Area,3.0,2.0,Yes,1468.0,130.0
Super built-up  Area,2.0,1.0,Yes,1555.0,82.0
Plot  Area,4.0,2.0,Yes,1200.0,110.0
Built-up  Area,2.0,0.0,Yes,1150.0,55.0
Super built-up  Area,2.0,1.0,No,970.0,35.0
Super built-up  Area,4.0,3.0,No,2500.0,95.0
Super built-up  Area,2.0,1.0,Yes,1166.0,53.0
Plot  Area,3.0,1.0,Yes,2779.0,317.0
Super built-up  Area,3.0,2.0,Yes,1350.0,58.0
Built-up  Area,2.0,3.0,Yes,900.0,46.0
Built-up  Area,3.0,1.0,Yes,1190.0,55.0
Super built-up  Area,2.0,2.0,Yes,1495.0,75.0
