area_type,bath,balcony,price,available to move,rectified_sqft
Built-up  Area,2.0,2.0,75.0,Yes,1100.0
Super built-up  Area,4.0,1.0,175.0,Yes,1200.0
Super built-up  Area,2.0,1.0,48.0,Yes,1162.0
Super built-up  Area,2.0,1.0,75.0,Yes,1125.0
Super built-up  Area,2.0,2.0,46.0,No,1088.0
Plot  Area,2.0,0.0,90.0,Yes,1500.0
Super built-up  Area,1.0,0.0,42.295,No,790.5
Super built-up  Area,2.0,1.0,45.0,No,935.0
Super built-up  Area,2.0,1.0,59.0,No,984.0
Plot  Area,5.0,3.0,120.0,Yes,875.0
Super built-up  Area,3.0,2.0,260.0,Yes,2375.0
Super built-up  Area,1.0,1.0,40.0,Yes,950.0
Super built-up  Area,4.0,1.0,180.0,Yes,2206.0
Super built-up  Area,3.0,2.0,85.0,Yes,2150.0
Super built-up  Area,3.0,2.0,102.0,No,1804.0
Super built-up  Area,2.0,1.0,94.0,Yes,1270.0
Built-up  Area,5.0,2.0,100.0,Yes,2400.0
Built-up  Area,2.0,2.0,80.0,Yes,1477.0
Built-up  Area,3.0,2.0,162.0,No,2842.0
Super built-up  Area,3.0,2.0,83.0,No,1571.0
Super built-up  Area,3.0,1.0,86.8,Yes,1640.0
Super built-up  Area,2.0,2.0,58.0,Yes,1110.0
Super built-up  Area,2.0,2.0,68.0,Yes,1363.0
Built-up  Area,3.0,2.0,90.0,Yes,1800.0
Super built-up  Area,3.0,2.0,88.0,Yes,1800.0
Super built-up  Area,2.0,1.0,61.45,Yes,1463.0
Super built-up  Area,3.0,3.0,70.0,Yes,1435.0
Plot  Area,6.0,1.0,300.0,Yes,1500.0
Plot  Area,5.0,1.0,408.0,Yes,2400.0
Super built-up  Area,3.0,2.0,105.0,No,1590.0
Super built-up  Area,2.0,1.0,71.81,No,1496.0
Built-up  Area,2.0,1.0,59.0,Yes,1325.0
Super built-up  Area,2.0,1.0,120.0,Yes,1640.0
Built-up  Area,2.0,2.0,42.0,Yes,1187.0
Super built-up  Area,2.0,2.0,69.0,Yes,1385.0
Super built-up  Area,2.0,1.0,59.0,No,1160.0
Super built-up  Area,3.0,2.0,1063.0,Yes,2000.0
Super built-up  Area,1.0,1.0,200.0,Yes,2400.0
Super built-up  Area,2.0,1.0,35.22,Yes,1109.0
Built-up  Area,1.0,1.0,32.0,Yes,638.0
Built-up  Area,2.0,2.0,70.0,Yes,1405.0
Super built-up  Area,1.0,0.0,30.715,Yes,614.5
Super built-up  Area,3.0,2.0,78.0,Yes,1550.0
Plot  Area,2.0,2.0,360.0,Yes,2000.0
Built-up  Area,2.0,2.0,44.0,Yes,1000.0
Plot  Area,1.0,0.0,56.25,Yes,750.0
Super built-up  Area,3.0,3.0,54.51,Yes,1608.0
Super built-up  Area,3.0,2.0,120.0,Yes,1790.0
Plot  Area,2.0,1.0,55.0,No,1000.0
Super built-up  Area,2.0,2.0,55.0,Yes,1069.0
Super built-up  Area,2.0,2.0,75.0,Yes,1322.0
Super built-up  Area,3.0,2.0,104.0,Yes,1745.0
Super built-up  Area,2.0,1.0,150.0,Yes,2400.0
Super built-up  Area,2.0,1.0,95.0,Yes,900.0
Super built-up  Area,3.0,3.0,340.0,Yes,2500.0
Plot  Area,2.0,2.0,70.0,Yes,1200.0
Super built-up  Area,2.0,2.0,59.0,Yes,1245.0
Built-up  Area,2.0,2.0,43.5,Yes,1207.0
Built-up  Area,2.0,2.0,40.0,Yes,963.0
Super built-up  Area,2.0,1.0,60.0,Yes,1089.0
Plot  Area,4.0,2.0,115.0,Yes,1200.0
Super built-up  Area,3.0,1.0,135.0,No,1659.0
Super built-up  Area,4.0,2.0,120.0,Yes,3000.0
Super built-up  Area,2.0,2.0,59.0,Yes,1384.0
Super built-up  Area,3.0,3.0,150.0,Yes,1975.0
Super built-up  Area,2.0,2.0,42.0,Yes,1094.0
Super built-up  Area,2.0,1.0,40.4,Yes,1010.0
Super built-up  Area,3.0,2.0,90.0,Yes,1435.0
Super built-up  Area,2.0,1.0,40.0,Yes,925.0
Built-up  Area,4.0,2.0,247.0,Yes,3453.0
Super built-up  Area,2.0,1.0,88.0,Yes,1280.0
Super built-up  Area,2.0,3.0,102.0,Yes,1470.0
Plot  Area,4.0,1.0,70.0,Yes,600.0
Super built-up  Area,2.0,2.0,14.0,No,500.0
Super built-up  Area,2.0,2.0,39.0,No,1070.0
Super built-up  Area,2.0,1.0,47.0,Yes,1325.0
Super built-up  Area,2.0,3.0,85.0,Yes,1575.0
Super built-up  Area,2.0,2.0,85.0,Yes,1560.0
Super built-up  Area,5.0,2.0,155.0,Yes,2240.0
Super built-up  Area,2.0,2.0,55.0,Yes,1095.0
Super built-up  Area,3.0,3.0,119.0,Yes,1910.0
Super built-up  Area,2.0,1.0,51.0,Yes,1194.0
Plot  Area,3.0,1.0,56.12,No,1200.0
Super built-up  Area,2.0,1.0,50.0,Yes,1200.0
Built-up  Area,3.0,2.0,180.0,Yes,2500.0
Super built-up  Area,3.0,3.0,175.0,Yes,2061.0
Built-up  Area,2.0,2.0,40.0,No,830.0
Super built-up  Area,3.0,2.0,110.0,Yes,1449.0
Super built-up  Area,2.0,1.0,63.0,No,1108.0
Super built-up  Area,2.0,2.0,59.9,Yes,1190.0
Plot  Area,9.0,3.0,122.0,Yes,1200.0
Built-up  Area,4.0,2.0,300.0,Yes,5000.0
Super built-up  Area,1.0,1.0,29.0,No,524.0
Super built-up  Area,1.0,1.0,14.0,Yes,1200.0
Super built-up  Area,3.0,2.0,85.0,Yes,2000.0
Super built-up  Area,2.0,2.0,548.5,No,5600.0
Built-up  Area,2.0,2.0,55.0,Yes,1069.0
Super built-up  Area,3.0,1.0,68.75,No,1545.0
Built-up  Area,2.0,1.0,45.0,Yes,1000.0
Super built-up  Area,2.0,1.0,48.5,Yes,1153.0
Super built-up  Area,3.0,2.0,194.0,No,1630.0
Plot  Area,2.0,0.0,80.0,Yes,1200.0
Super built-up  Area,2.0,1.0,65.0,Yes,1050.0
Super built-up  Area,1.0,2.0,45.0,Yes,1100.0
Super built-up  Area,5.0,2.0,450.0,Yes,3500.0
Super built-up  Area,5.0,2.0,80.0,No,5800.0
Super built-up  Area,3.0,3.0,155.0,Yes,1904.0
Super built-up  Area,2.0,1.0,32.0,Yes,1010.0
Super built-up  Area,2.0,1.0,75.0,Yes,1210.0
Built-up  Area,2.0,2.0,67.0,Yes,1255.0
Built-up  Area,2.0,2.0,32.0,Yes,1000.0
Super built-up  Area,3.0,2.0,80.0,No,1741.0
Super built-up  Area,1.0,0.0,45.0,No,697.0
Plot  Area,6.0,2.0,235.0,Yes,1200.0
Super built-up  Area,2.0,2.0,53.67,No,1102.0
Super built-up  Area,2.0,1.0,47.0,Yes,950.0
Plot  Area,2.0,1.0,110.0,Yes,1350.0
Plot  Area,4.0,0.0,62.0,Yes,750.0
Super built-up  Area,4.0,3.0,326.0,Yes,2475.0
Super built-up  Area,2.0,1.0,65.0,Yes,1600.0
Built-up  Area,2.0,1.0,51.5,Yes,935.0
Super built-up  Area,2.0,2.0,75.0,Yes,1284.0
Super built-up  Area,2.0,3.0,63.0,Yes,1350.0
Built-up  Area,2.0,2.0,34.0,Yes,1000.0
Built-up  Area,4.0,1.0,260.0,Yes,3990.0
Built-up  Area,2.0,0.0,70.0,Yes,1000.0
Super built-up  Area,2.0,1.0,53.0,No,1251.0
Built-up  Area,3.0,3.0,120.0,Yes,2300.0
Super built-up  Area,2.0,2.0,43.63,No,1235.0
Plot  Area,1.0,0.0,37.0,Yes,555.0
Plot  Area,1.0,0.0,160.0,Yes,1500.0
Super built-up  Area,3.0,2.0,100.0,Yes,1825.0
Super built-up  Area,2.0,2.0,54.8,No,1370.0
Super built-up  Area,3.0,1.0,95.0,Yes,1720.0
Super built-up  Area,2.0,1.0,44.0,Yes,1027.0
Super built-up  Area,2.0,1.0,28.88,No,1000.0
Built-up  Area,1.0,1.0,25.0,Yes,515.0
Super built-up  Area,2.0,2.0,52.76,No,1235.0
Super built-up  Area,2.0,2.0,48.95,Yes,1224.0
Super built-up  Area,3.0,2.0,400.0,Yes,4097.0
Super built-up  Area,3.0,3.0,110.0,Yes,1652.0
Super built-up  Area,3.0,2.0,75.5,Yes,1500.0
Super built-up  Area,1.0,1.0,21.0,Yes,460.0
Super built-up  Area,1.0,2.0,35.0,Yes,630.0
Plot  Area,3.0,1.0,71.0,No,1500.0
Super built-up  Area,3.0,3.0,90.0,Yes,1385.0
Super built-up  Area,2.0,1.0,71.0,Yes,1404.0
Plot  Area,4.0,1.0,75.0,Yes,900.0
Plot  Area,6.0,2.0,170.0,Yes,1200.0
Super built-up  Area,2.0,3.0,53.0,Yes,1410.0
Super built-up  Area,3.0,2.0,83.0,Yes,1600.0
Super built-up  Area,2.0,2.0,39.25,Yes,1190.0
Super built-up  Area,1.0,1.0,35.0,Yes,730.0
Built-up  Area,4.0,3.0,170.0,Yes,4000.0
Plot  Area,1.0,0.0,52.0,Yes,1150.0
Super built-up  Area,3.0,3.0,105.0,Yes,1680.0
Super built-up  Area,2.0,2.0,88.0,Yes,1719.3
Super built-up  Area,2.0,2.0,65.0,Yes,1480.0
Built-up  Area,3.0,1.0,165.0,Yes,1600.0
Super built-up  Area,3.0,2.0,175.0,Yes,1825.0
Super built-up  Area,5.0,2.0,102.0,Yes,1499.0
Super built-up  Area,3.0,2.0,108.0,No,1900.0
Super built-up  Area,2.0,3.0,50.0,Yes,1080.0
Built-up  Area,2.0,0.0,40.0,Yes,1540.0
Built-up  Area,5.0,3.0,180.0,Yes,2400.0
Super built-up  Area,3.0,2.0,39.5,No,1250.0
Plot  Area,3.0,1.0,320.0,Yes,2400.0
Super built-up  Area,2.0,2.0,53.5,Yes,1050.0
Super built-up  Area,2.0,1.0,42.6,No,1065.0
Built-up  Area,2.0,1.0,90.0,Yes,1600.0
Super built-up  Area,2.0,1.0,74.03,No,1346.0
Super built-up  Area,2.0,1.0,78.0,Yes,1174.0
Super built-up  Area,2.0,2.0,60.0,Yes,1300.0
Plot  Area,4.0,1.0,462.0,Yes,2801.25
Super built-up  Area,2.0,1.0,57.0,Yes,1230.0
Super built-up  Area,2.0,3.0,55.0,Yes,1210.0
Built-up  Area,2.0,1.0,50.0,Yes,1650.0
Super built-up  Area,3.0,2.0,95.0,Yes,1820.0
Super built-up  Area,2.0,1.0,36.0,Yes,1050.0
Plot  Area,2.0,2.0,34.185,No,1800.0
Super built-up  Area,2.0,1.0,97.8,Yes,1349.0
Plot  Area,4.0,1.0,80.0,Yes,10961.0
Plot  Area,5.0,2.0,175.0,Yes,1400.0
Super built-up  Area,2.0,1.0,45.0,Yes,1100.0
Built-up  Area,5.0,3.0,145.0,Yes,3600.0
Super built-up  Area,2.0,1.0,38.65,Yes,1105.0
Built-up  Area,2.0,1.0,45.0,Yes,1100.0
Super built-up  Area,2.0,2.0,56.0,Yes,1285.0
Plot  Area,7.0,3.0,250.0,Yes,1200.0
Plot  Area,2.0,1.0,65.0,Yes,1200.0
Built-up  Area,3.0,2.0,150.0,Yes,3600.0
Super built-up  Area,1.0,1.0,50.0,No,950.0
Super built-up  Area,2.0,2.0,42.5,No,1250.0
Plot  Area,1.0,0.0,66.0,Yes,1152.0
Super built-up  Area,3.0,1.0,175.0,Yes,2000.0
Super built-up  Area,2.0,1.0,50.0,Yes,1141.0
Super built-up  Area,2.0,2.0,43.58,No,1453.0
Super built-up  Area,2.0,2.0,40.0,Yes,1133.0
Super built-up  Area,5.0,3.0,420.0,Yes,5384.0
Super built-up  Area,6.0,0.0,125.5,Yes,2912.5
Super built-up  Area,1.0,1.0,59.0,No,877.0
Plot  Area,2.0,1.0,160.0,Yes,1200.0
Built-up  Area,3.0,2.0,95.45,Yes,1305.0
Super built-up  Area,2.0,2.0,63.0,Yes,1262.0
Built-up  Area,3.0,0.0,132.0,Yes,3000.0
Super built-up  Area,4.0,0.0,98.88,No,2225.0
Super built-up  Area,12.0,2.0,525.0,Yes,12000.0
Super built-up  Area,3.0,1.0,75.48,No,1480.0
Built-up  Area,3.0,1.0,159.0,No,2264.0
Super built-up  Area,1.0,1.0,30.0,No,525.0
Super built-up  Area,2.0,2.0,82.0,Yes,1645.0
Built-up  Area,4.0,0.0,170.0,Yes,2500.0
Plot  Area,5.0,3.0,130.0,Yes,600.0
Super built-up  Area,2.0,3.0,41.0,Yes,1020.0
Super built-up  Area,3.0,3.0,170.0,Yes,1600.0
Super built-up  Area,2.0,1.0,78.0,Yes,1330.0
Super built-up  Area,2.0,3.0,97.0,No,1482.0
Super built-up  Area,2.0,3.0,74.0,No,1290.0
Super built-up  Area,2.0,1.0,46.0,No,1251.0
Super built-up  Area,2.0,1.0,87.0,No,1232.0
Super built-up  Area,2.0,2.0,56.0,Yes,1464.0
Built-up  Area,2.0,0.0,65.0,Yes,900.0
Super built-up  Area,2.0,1.0,108.0,Yes,1500.0
Built-up  Area,3.0,2.0,120.0,Yes,1864.0
Super built-up  Area,2.0,1.0,79.0,No,1216.0
Super built-up  Area,2.0,1.0,40.0,Yes,910.0
Super built-up  Area,2.0,2.0,226.0,Yes,4303.5
Built-up  Area,1.0,1.0,10.0,Yes,410.0
Super built-up  Area,2.0,1.0,75.0,No,1269.0
Plot  Area,3.0,2.0,165.0,Yes,1200.0
Super built-up  Area,2.0,0.0,60.0,No,1200.0
Super built-up  Area,2.0,0.0,69.61,No,1232.0
Built-up  Area,2.0,2.0,45.0,Yes,1000.0
Built-up  Area,2.0,1.0,31.0,Yes,787.0
Super built-up  Area,2.0,2.0,47.12,Yes,1240.0
Super built-up  Area,3.0,2.0,68.0,Yes,1630.0
Super built-up  Area,3.0,3.0,350.0,Yes,3095.0
Super built-up  Area,2.0,1.0,65.0,Yes,1450.0
Super built-up  Area,2.0,1.0,57.0,Yes,1020.0
Super built-up  Area,2.0,2.0,65.0,Yes,1390.0
Super built-up  Area,2.0,1.0,54.0,Yes,1152.0
Built-up  Area,3.0,3.0,83.0,Yes,1720.0
Super built-up  Area,1.0,1.0,20.0,Yes,800.0
Super built-up  Area,1.0,1.0,25.0,Yes,850.0
Plot  Area,4.0,1.0,228.0,Yes,2400.0
Super built-up  Area,1.0,1.0,55.0,Yes,705.0
Built-up  Area,2.0,1.0,45.0,Yes,1200.0
Built-up  Area,3.0,2.0,42.0,Yes,1208.51
Super built-up  Area,3.0,2.0,94.0,Yes,1785.0
Plot  Area,7.0,2.0,108.0,Yes,600.0
Super built-up  Area,2.0,2.0,55.0,Yes,1090.0
Built-up  Area,3.0,2.0,108.0,Yes,2045.0
Super built-up  Area,2.0,2.0,48.1,Yes,1419.0
Super built-up  Area,2.0,2.0,34.0,Yes,919.0
Super built-up  Area,2.0,2.0,57.0,Yes,1090.0
Plot  Area,4.0,2.0,550.0,Yes,3500.0
Super built-up  Area,2.0,2.0,44.5,No,1235.0
Super built-up  Area,2.0,1.0,105.0,Yes,1270.0
Super built-up  Area,2.0,1.0,50.0,Yes,1250.0
Super built-up  Area,3.0,3.0,395.0,Yes,2409.0
Plot  Area,4.0,2.0,86.0,Yes,800.0
Super built-up  Area,3.0,2.0,123.0,No,1787.0
Super built-up  Area,2.0,2.0,85.0,Yes,1265.0
Super built-up  Area,12.0,2.0,160.0,Yes,4000.0
Built-up  Area,3.0,3.0,230.0,Yes,1950.0
Plot  Area,4.0,3.0,37.0,Yes,360.0
Plot  Area,4.0,0.0,90.0,Yes,900.0
Super built-up  Area,3.0,3.0,95.0,Yes,1719.0
Plot  Area,3.0,1.0,69.0,Yes,600.0
Super built-up  Area,2.0,2.0,76.18,Yes,1382.0
Super built-up  Area,2.0,1.0,74.0,No,1098.0
Plot  Area,6.0,3.0,160.0,Yes,1200.0
Super built-up  Area,2.0,1.0,42.59,Yes,1065.0
Built-up  Area,2.0,3.0,65.0,Yes,1275.0
Super built-up  Area,3.0,2.0,145.0,Yes,2100.0
Super built-up  Area,3.0,2.0,94.71,Yes,2330.0
Super built-up  Area,2.0,2.0,43.0,Yes,1120.0
Super built-up  Area,3.0,1.0,62.63,Yes,1362.0
Super built-up  Area,2.0,3.0,67.0,Yes,1415.0
Super built-up  Area,3.0,2.0,151.0,No,2170.0
Super built-up  Area,3.0,1.0,123.0,No,1750.0
Super built-up  Area,1.0,1.0,29.0,Yes,605.0
Plot  Area,5.0,0.0,150.0,Yes,2100.0
Super built-up  Area,3.0,3.0,91.0,Yes,1845.0
Super built-up  Area,2.0,1.0,45.0,Yes,1225.0
Super built-up  Area,2.0,2.0,70.0,Yes,1325.0
Built-up  Area,2.0,0.0,39.0,Yes,820.0
Super built-up  Area,3.0,2.0,225.0,Yes,2968.0
Super built-up  Area,3.0,2.0,110.0,Yes,1760.0
Plot  Area,3.0,1.0,61.95,No,1500.0
Super built-up  Area,2.0,2.0,120.0,Yes,1475.0
Plot  Area,1.0,0.0,45.0,Yes,1200.0
Plot  Area,9.0,3.0,215.0,Yes,1200.0
Super built-up  Area,2.0,2.0,34.2,No,1085.0
Super built-up  Area,2.0,1.0,52.0,Yes,1175.0
Built-up  Area,4.0,1.0,220.0,No,3385.0
Super built-up  Area,3.0,2.0,85.0,Yes,1665.0
Built-up  Area,2.0,1.0,78.0,Yes,1100.0
Super built-up  Area,2.0,2.0,45.9,Yes,1021.0
Super built-up  Area,3.0,2.0,39.0,No,1250.0
Built-up  Area,2.0,2.0,95.0,Yes,1740.0
Super built-up  Area,2.0,2.0,102.92,No,1773.5
Super built-up  Area,2.0,2.0,58.0,Yes,1186.0
Built-up  Area,2.0,2.0,90.0,Yes,1485.0
Built-up  Area,2.0,2.0,43.0,Yes,1085.0
Super built-up  Area,2.0,2.0,72.0,Yes,1310.0
Super built-up  Area,3.0,1.0,103.0,No,1929.0
Plot  Area,2.0,1.0,120.0,Yes,1245.0
Super built-up  Area,2.0,2.0,62.4,Yes,1560.0
Super built-up  Area,3.0,2.0,71.0,Yes,1650.0
Super built-up  Area,2.0,1.0,82.0,No,1239.0
Super built-up  Area,2.0,1.0,38.33,Yes,1095.0
Super built-up  Area,1.0,1.0,17.19,No,416.0
Super built-up  Area,4.0,2.0,125.0,Yes,1965.0
Super built-up  Area,2.0,2.0,52.0,No,1140.0
Super built-up  Area,2.0,1.0,40.0,No,700.0
Plot  Area,3.0,2.0,180.0,Yes,1163.0
Super built-up  Area,3.0,3.0,85.0,Yes,2020.0
Built-up  Area,2.0,1.0,100.0,Yes,1240.0
Plot  Area,3.0,0.0,162.0,Yes,1900.0
Super built-up  Area,2.0,2.0,52.0,Yes,1427.0
Super built-up  Area,3.0,2.0,260.0,No,2289.0
Super built-up  Area,2.0,1.0,49.0,Yes,1097.0
Super built-up  Area,2.0,2.0,43.79,No,1240.0
Super built-up  Area,2.0,2.0,62.0,Yes,1532.0
Super built-up  Area,2.0,2.0,111.0,Yes,1610.0
Super built-up  Area,2.0,2.0,38.0,Yes,1100.0
Plot  Area,2.0,1.0,45.0,Yes,1500.0
Super built-up  Area,2.0,1.0,65.0,No,1230.0
Built-up  Area,3.0,2.0,70.25,Yes,1508.0
Super built-up  Area,2.0,2.0,46.0,Yes,1100.0
Super built-up  Area,3.0,3.0,77.0,Yes,1686.0
Super built-up  Area,3.0,1.0,90.0,Yes,1685.0
Super built-up  Area,2.0,1.0,55.0,Yes,1200.0
Super built-up  Area,4.0,3.0,272.0,No,4260.0
Plot  Area,7.0,1.0,299.0,Yes,4278.0
Super built-up  Area,2.0,1.0,53.0,Yes,1031.0
Super built-up  Area,2.0,2.0,47.0,No,1058.0
Plot  Area,2.0,2.0,120.0,No,2000.0
Super built-up  Area,2.0,1.0,61.0,No,1115.0
Built-up  Area,2.0,1.0,69.0,Yes,1280.0
Plot  Area,4.0,2.0,211.0,Yes,1660.4
Plot  Area,4.0,2.0,85.0,Yes,1350.0
Built-up  Area,3.0,2.0,122.0,Yes,2072.0
Super built-up  Area,2.0,2.0,61.45,No,1088.0
Built-up  Area,2.0,1.0,35.25,No,1220.0
Plot  Area,4.0,2.0,155.0,No,2760.0
Plot  Area,8.0,1.0,600.0,Yes,3250.0
Super built-up  Area,2.0,1.0,58.0,No,1100.0
Super built-up  Area,2.0,1.0,48.0,Yes,1136.0
Super built-up  Area,2.0,2.0,98.0,Yes,1300.0
Super built-up  Area,1.0,0.0,36.0,Yes,700.0
Plot  Area,4.0,1.0,750.0,Yes,2480.0
Plot  Area,3.0,1.0,90.0,Yes,600.0
Built-up  Area,3.0,2.0,135.0,Yes,2500.0
Super built-up  Area,3.0,3.0,65.0,Yes,1515.0
Plot  Area,6.0,3.0,280.0,Yes,1200.0
Super built-up  Area,2.0,1.0,49.0,Yes,1260.0
Super built-up  Area,2.0,2.0,52.0,Yes,1200.0
Super built-up  Area,3.0,3.0,650.0,Yes,3850.0
Super built-up  Area,2.0,2.0,22.5,No,900.0
Super built-up  Area,2.0,1.0,67.0,No,1165.0
Super built-up  Area,2.0,1.0,33.0,Yes,960.0
Super built-up  Area,2.0,2.0,60.8,Yes,1026.0
Super built-up  Area,3.0,1.0,160.0,Yes,1680.0
Super built-up  Area,2.0,2.0,75.0,Yes,1200.0
Super built-up  Area,1.0,1.0,44.9,Yes,825.0
Super built-up  Area,3.0,1.0,75.0,No,1476.0
Super built-up  Area,2.0,3.0,67.0,Yes,1400.0
Super built-up  Area,5.0,2.0,650.0,Yes,4460.0
Plot  Area,1.0,0.0,70.0,Yes,900.0
Plot  Area,3.0,2.0,225.0,Yes,1140.0
Super built-up  Area,2.0,2.0,37.5,No,1118.0
Super built-up  Area,1.0,0.0,19.82,No,734.0
Super built-up  Area,2.0,1.0,63.0,No,1137.0
Super built-up  Area,2.0,1.0,77.47,Yes,1050.0
Plot  Area,8.0,2.0,150.0,Yes,1200.0
Super built-up  Area,2.0,2.0,45.6,Yes,1200.0
Super built-up  Area,2.0,2.0,95.0,Yes,1165.0
Super built-up  Area,3.0,2.0,43.0,No,1250.0
Plot  Area,4.0,3.0,550.0,Yes,7000.0
Built-up  Area,2.0,1.0,50.0,Yes,1375.0
Super built-up  Area,5.0,1.0,158.0,No,2882.0
Super built-up  Area,2.0,1.0,86.0,No,1199.0
Super built-up  Area,3.0,2.0,132.0,Yes,1999.0
Super built-up  Area,2.0,2.0,55.0,Yes,1044.0
Super built-up  Area,2.0,1.0,46.0,Yes,1060.0
Super built-up  Area,2.0,1.0,56.0,Yes,1180.0
Super built-up  Area,2.0,1.0,77.0,No,1277.0
Super built-up  Area,5.0,1.0,251.0,Yes,3596.0
Super built-up  Area,2.0,2.0,41.0,No,1050.0
Super built-up  Area,4.0,1.0,145.0,Yes,1984.0
Plot  Area,5.0,2.0,245.0,Yes,2500.0
Built-up  Area,3.0,0.0,140.0,Yes,1000.0
Super built-up  Area,2.0,2.0,62.0,Yes,1339.0
Super built-up  Area,2.0,1.0,41.0,Yes,1205.0
Super built-up  Area,2.0,2.0,78.0,No,1121.0
Plot  Area,4.0,3.0,178.0,Yes,1800.0
Super built-up  Area,2.0,2.0,62.0,Yes,1200.0
Plot  Area,4.0,0.0,185.0,Yes,1200.0
Built-up  Area,2.0,1.0,30.75,No,1065.0
Built-up  Area,3.0,2.0,58.0,No,1750.0
Super built-up  Area,2.0,3.0,61.0,Yes,1051.0
Plot  Area,4.0,3.0,140.0,Yes,1200.0
Built-up  Area,1.0,1.0,11.0,Yes,400.0
Plot  Area,2.0,0.0,73.0,Yes,1200.0
Super built-up  Area,2.0,1.0,59.8,Yes,1247.0
Super built-up  Area,3.0,2.0,130.0,Yes,1468.0
Built-up  Area,2.0,1.0,65.0,Yes,1241.0
Built-up  Area,1.0,1.0,21.0,Yes,470.0
Plot  Area,3.0,2.0,85.0,Yes,600.0
Super built-up  Area,4.0,2.0,240.0,Yes,2150.0
Built-up  Area,1.0,1.0,27.0,Yes,675.0
Super built-up  Area,4.0,3.0,65.0,Yes,1664.0
Super built-up  Area,2.0,3.0,50.0,Yes,1310.0
Built-up  Area,2.0,1.0,60.0,Yes,1075.0
Built-up  Area,2.0,1.0,52.0,Yes,1160.0
Built-up  Area,3.0,2.0,92.0,Yes,1976.0
Super built-up  Area,2.0,2.0,25.53,No,982.0
Super built-up  Area,4.0,1.0,310.0,Yes,2215.0
Super built-up  Area,2.0,1.0,102.0,Yes,1450.0
Super built-up  Area,2.0,2.0,110.0,Yes,1600.0
Super built-up  Area,2.0,1.0,65.0,Yes,1430.0
Super built-up  Area,3.0,2.0,110.0,Yes,1710.0
Built-up  Area,2.0,0.0,28.0,Yes,919.0
Plot  Area,3.0,2.0,128.0,Yes,1200.0
Super built-up  Area,2.0,1.0,85.0,Yes,1165.0
Super built-up  Area,2.0,2.0,55.0,Yes,1380.0
Built-up  Area,2.0,0.0,48.0,Yes,1250.0
Super built-up  Area,2.0,2.0,22.0,No,750.0
Super built-up  Area,2.0,2.0,85.0,No,1608.0
Plot  Area,3.0,2.0,95.0,No,2325.0
Super built-up  Area,2.0,1.0,42.52,No,1063.0
Super built-up  Area,2.0,2.0,60.0,Yes,1148.0
Built-up  Area,1.0,1.0,36.0,Yes,770.0
Super built-up  Area,2.0,2.0,37.64,Yes,1077.0
Plot  Area,9.0,2.0,185.0,Yes,1200.0
Super built-up  Area,2.0,1.0,69.0,No,1216.0
Super built-up  Area,2.0,2.0,45.0,Yes,1194.0
Super built-up  Area,3.0,2.0,83.87,No,1355.0
Super built-up  Area,2.0,1.0,71.0,Yes,1340.0
Super built-up  Area,2.0,2.0,66.78,No,1260.0
Super built-up  Area,2.0,2.0,76.18,Yes,1381.0
Plot  Area,3.0,0.0,235.0,Yes,1500.0
Plot  Area,4.0,0.0,120.0,Yes,2000.0
Super built-up  Area,4.0,3.0,332.0,Yes,2475.0
Super built-up  Area,3.0,2.0,185.0,Yes,1760.0
Super built-up  Area,1.0,1.0,17.0,Yes,497.0
Super built-up  Area,2.0,2.0,71.5,Yes,1444.0
Built-up  Area,2.0,1.0,39.0,Yes,1095.0
Super built-up  Area,3.0,2.0,59.76,Yes,1615.0
Plot  Area,5.0,3.0,265.0,Yes,3940.0
Super built-up  Area,3.0,3.0,300.0,Yes,2350.0
Built-up  Area,2.0,2.0,46.0,Yes,1140.0
Super built-up  Area,2.0,2.0,38.5,Yes,907.0
Super built-up  Area,2.0,1.0,36.68,Yes,1005.0
Super built-up  Area,2.0,2.0,55.0,Yes,1020.0
Super built-up  Area,1.0,0.0,95.0,Yes,1200.0
Super built-up  Area,3.0,3.0,85.0,Yes,1710.0
Built-up  Area,2.0,1.0,49.5,Yes,1050.0
Plot  Area,4.0,3.0,175.0,Yes,900.0
Super built-up  Area,2.0,2.0,46.0,Yes,1150.0
Super built-up  Area,1.0,0.0,29.9,No,451.0
Super built-up  Area,2.0,1.0,68.0,Yes,1246.0
Built-up  Area,2.0,2.0,125.0,Yes,1590.0
Super built-up  Area,3.0,2.0,85.0,Yes,2000.0
Built-up  Area,2.0,1.0,70.0,Yes,1120.0
Built-up  Area,3.0,2.0,65.0,Yes,1605.0
Super built-up  Area,2.0,1.0,60.0,Yes,1025.0
Super built-up  Area,2.0,1.0,57.0,No,1194.0
Super built-up  Area,3.0,2.0,101.0,No,1830.0
Super built-up  Area,3.0,1.0,250.0,Yes,2300.0
Super built-up  Area,2.0,1.0,109.0,No,1300.0
Plot  Area,5.0,2.0,253.0,Yes,2400.0
Super built-up  Area,2.0,2.0,75.0,Yes,1145.0
Super built-up  Area,4.0,2.0,235.0,Yes,4800.0
Super built-up  Area,3.0,2.0,65.0,Yes,1485.0
Built-up  Area,1.0,0.0,36.0,Yes,540.0
Super built-up  Area,2.0,2.0,37.0,No,927.0
Built-up  Area,4.0,1.0,150.0,Yes,2400.0
Super built-up  Area,2.0,1.0,40.0,Yes,1089.0
Super built-up  Area,2.0,1.0,97.0,Yes,1341.0
